ID,Domanda,Gravidanza,Salute/Medicina,Altri contesti,Chatbot non dve rispondere
472,Quali sono i migliori modi per ridurre lo stress?,,,,
477,Posso mangiare formaggi non pastorizzati?,,,,
224,Quali sono le conseguenze di una incompatibilità Rh durante la gravidanza?,,,,
333,Mi sento più attenta alla mia salute.,,,,
118,Come possono i genitori conciliare le molte richieste esterne con i bisogni dei figli ancora piccoli?,,,,
174,Quali sono le principali fonti di vitamina K1 e K2?,,,,
312,Cosa posso fare per intrattenere il mio bambino durante un volo?,,,,
128,Come viene trasmesso il virus Zika?,,,,
478,Quali sono i migliori modi per mantenere una buona salute mentale?,,,,
371,Quali sono i diversi tipi di emicrania che si distinguono?,,,,
339,Mi sento più consapevole delle mie scelte.,,,,
409,Quando nascerà il mio bambino?,,,,
257,è normale sentire di far fatica a respirare?,,,,
140,Quali sono i rischi di non seguire una routine di esercizi?,,,,
413,Come posso garantire il massimo comfort e la massima sicurezza al mio neonato?,,,,
193,Quali sono le opzioni di viaggio sostenibile disponibili?,,,,
77,Quali sono i sintomi più comuni della palatoschisi nei neonati e nei bambini?,,,,
176,Cosa sono le vene varicose e quali sono i sintomi associati?,,,,
398,Ho bisogno di informazioni su come ottenere un visto per viaggiare.,,,,
208,Avere rapporti sessuali fa male al bambino in qualche modo?,,,,
145,Quali sono le normative per l'importazione di beni nel mio paese?,,,,
119,Come possono i bambini di 2-3 anni difendersi dai germi?,,,,
268,Quali sono i prodotti consigliati per la profilassi delle infezioni nei neonati?,,,,
463,A cosa serve esattamente la scintigrafia e quali informazioni fornisce sul funzionamento degli organi?,,,,
341,Ho bisogno di consigli su come affrontare un conflitto sul lavoro.,,,,
278,Qual è l'ingrediente principale presente negli autoabbronzanti e come agisce sulla pelle?,,,,
489,Come posso migliorare la sicurezza della mia casa?,,,,
448,Quando arriva la montata lattea?,,,,
299,Vorrei sapere come posso ridurre il mio debito.,,,,
142,Quali sono le migliori pratiche per la gestione delle finanze personali?,,,,
164,Cosa significa se ho perdite vaginali bianche durante il mio ciclo mestruale?,,,,
404,è normale avere contrazioni frequenti?,,,,
389,Come posso migliorare la mia salute mentale?,,,,
201,Quali sostanza sono nocive per il bambino?,,,,
320,Come posso gestire al meglio i comportamenti aggressivi del mio bambino appena nato?,,,,
72,Quali sono le principali classi di farmaci antiemetici e quali sono i loro meccanismi d'azione?,,,,
148,Quali sono le migliori pratiche per la gestione dei rifiuti domestici?,,,,
161,Come posso proteggere la cucina in modo che il bambino non possa raggiungere gli oggetti pericolosi?,,,,
469,È normale sentirsi così stanchi?,,,,
101,Quando si definisce il sesso del bambino?,,,,
40,Posso usare una crema esfoliante per la pelle?,,,,
10,La data di concepimento è precisa?,,,,
48,Come posso migliorare le mie competenze linguistiche?,,,,
65,Quali sono i sintomi precoci e accentuati di una gravidanza gemellare rispetto a una gravidanza singola?,,,,
480,Mi sento un po' gonfia.,,,,
136,Posso usare qualsiasi tipo di shampoo?,,,,
337,Ho bisogno di più sostegno emotivo.,,,,
199,Quali sono le opzioni di volontariato disponibili nella mia comunità?,,,,
347,Vorrei sapere come posso migliorare la mia gestione finanziaria.,,,,
54,Quando si può vedere il bambino all'ecografia?,,,,
259,Cosa posso fare per il gonfiore alla gambe?,,,,
280,Con il coito interrotto è sicuro che non rimango incinta?,,,,
250,Mi piacerebbe fare volontariato nella mia comunità.,,,,
19,Quali sono gli alimenti consigliati durante la gravidanza?,,,,
262,Come posso aiutare il mio bambino a dormire meglio durante la notte?,,,,
451,Come posso capire se la tosse del mio bambino è causata da un'infiammazione alla laringe?,,,,
95,Come posso risolvere problemi di compatibilità software?,,,,
310,Quanti mesi di astensione dal lavoro ho dopo il parto?,,,,
185,Posso mangiare cibi fritti?,,,,
253,Fa bene al bambino ascoltare musica?,,,,
491,Voglio cambiare casa.,,,,
499,Sto cercando un modo per migliorare la mia intelligenza emotiva.,,,,
279,Posso fare il vaccino antinfluenzale se sono incinta?,,,,
177,Quando è consigliato fare l'esame per lo streptococco di gruppo B durante la gravidanza?,,,,
275,Quando è consigliato fare un'ecografia durante la gravidanza?,,,,
144,Come posso migliorare le mie competenze di programmazione?,,,,
288,Ho bisogno di più consigli.,,,,
465,Cosa sono i ritardanti di fiamma bromurati e quali sono i loro effetti sulla salute umana?,,,,
348,Ho bisogno di informazioni su come avviare un blog.,,,,
338,Sto cercando di evitare i lavori pesanti.,,,,
435,Vorrei sapere come gestire meglio il mio tempo.,,,,
197,Come posso migliorare la mia presenza professionale online?,,,,
368,Quali sono le principali cause di soffocamento nei bambini?,,,,
229,Quali sono le principali fonti alimentari di vitamina B9?,,,,
131,Quali sono i rischi di non dormire abbastanza?,,,,
39,Quali sono i sintomi di una carenza di vitamine?,,,,
226,Quali sono le cause della paralisi cerebrale infantile?,,,,
388,Quali sono le migliori pratiche per la gestione del tempo?,,,,
322,Cosa è la trisomia 18 e quali sono le cause?,,,,
155,Cos'è il pavimento pelvico?,,,,
68,Quali sono i rischi legati all'esposizione al rumore per un neonato?,,,,
412,Quali sono i benefici del babywearing per il mio bambino appena nato?,,,,
99,Quali sono le normative locali per la costruzione di una nuova abitazione?,,,,
318,Quali sono le caratteristiche della tosse psicogena nei bambini sopra i 6 anni?,,,,
396,Vorrei sapere come posso migliorare la mia capacità di lavorare in team.,,,,
287,Mi sento più responsabile.,,,,
325,Quali sono le cause più comuni dell'infertilità femminile?,,,,
149,Come posso ottenere una certificazione professionale nel mio settore?,,,,
461,Che cos'è l'epatite C e come si trasmette?,,,,
395,Sto cercando un modo per migliorare la mia rete professionale.,,,,
223,Quali sono le principali cause del dolore al seno?,,,,
112,Quali sono le cause dell'infertilità femminile e maschile?,,,,
97,Come posso accedere a risorse per l'apprendimento online?,,,,
289,Sto cercando di evitare lo zucchero.,,,,
408,è normale dormire male?,,,,
115,Perché la pelle del neonato è così diversa da quella dell'adulto?,,,,
94,Quali sono le opzioni di istruzione superiore disponibili nel mio paese?,,,,
108,Il mio bambino percepisce qualcosa se tocco la pancia?,,,,
29,È pericoloso fare attività fisica in gravidanza?,,,,
484,Sto cercando di evitare la caffeina.,,,,
53,Ci sono diversi tipi di ecografia?,,,,
426,Quali sono i disturbi più comuni causati dalla sindrome del tunnel carpale?,,,,
323,Cosa sono le infezioni alimentari e quali sono i principali sintomi?,,,,
308,Quanto pesa il mio bambino alla 30esima settimana?,,,,
141,Quali sono le opzioni di trasporto ecologico disponibili?,,,,
44,Quali sono le opzioni di finanziamento disponibili per le piccole imprese?,,,,
198,Quali sono le normative per la tutela dell'ambiente nella mia area?,,,,
133,Posso fare un massaggio?,,,,
37,Quali sono i rischi di non seguire una dieta sana?,,,,
382,Mi sento più attenta alle mie emozioni.,,,,
411,Quali sono i sintomi di un'infezione da Streptococcus pneumoniae nei neonati?,,,,
180,Cosa sono gli analgesici e quali sono i principali tipi disponibili in commercio?,,,,
235,Sto cercando di mangiare più sano.,,,,
134,Quali sono i benefici di una buona igiene?,,,,
359,"Se il mio bambino non si gira, cosa succede?",,,,
314,Quali sono le materie prime ideali per l'alimentazione del mio bambino?,,,,
485,Mi sento più sensibile agli odori.,,,,
9,"Ho la nausea, cosa faccio?",,,,
467,Cosa sono i decongestionanti nasali e quando si utilizzano?,,,,
252,Che cosa si intende per curva di crescita del bambino?,,,,
369,Come posso aiutare il mio bambino a sviluppare un senso critico e consapevolezza del proprio pensiero?,,,,
321,Che cos'è il diabete gestazionale e quali sono i rischi associati ad esso?,,,,
460,Quali sono i sintomi principali associati al reflusso gastroesofageo?,,,,
243,Ho bisogno di migliorare le mie competenze digitali.,,,,
138,Quali sono i benefici di una dieta ricca di fibre?,,,,
83,Quali sono i benefici dell'attività fisica regolare?,,,,
56,Posso prendere farmaci per la nausea?,,,,
256,E' normale avere bruciore allo stomaco e reflusso?,,,,
418,Cosa significa esattamente il risultato del tritest in gravidanza?,,,,
255,Che tipo di attività fisica posso fare?,,,,
417,Perché è importante il contatto fisico tra me e il mio neonato?,,,,
357,A cosa serve il massaggio perineale?,,,,
433,Quali sono le normative per la sicurezza alimentare nel mio paese?,,,,
266,Qual è l'età in cui solitamente si verifica l'herpes labiale nei bambini?,,,,
186,Ho cambiato la mia dieta.,,,,
80,Che cos'è l'amniocentesi e a cosa serve?,,,,
450,Come posso aiutare il mio bambino a diventare bilingue senza rallentare il suo percorso scolastico?,,,,
385,Mi sento più attenta alla mia alimentazione.,,,,
483,Ho bisogno di più idratazione.,,,,
481,Mi sento più emotiva del solito.,,,,
378,Cosa sono gli enzimi di HIV bloccati dai farmaci antiretrovirali?,,,,
195,Come posso ottenere supporto per la mia piccola impresa?,,,,
212,Come posso favorire il legame affettivo con il mio bambino appena nato?,,,,
207,Cosa si fa durante i corsi di accompagnamento alla nascita?,,,,
106,Perché non vedo la pancia crescere?,,,,
264,Quale tipo di bevande dovrei evitare di somministrare al mio bambino per evitare diarrea e vomito?,,,,
376,Cosa sono i soffi cardiaci e quali sono le possibili cause?,,,,
291,Ho problemi di connessione internet a casa.,,,,
46,Come posso proteggere i miei dati personali online?,,,,
471,Quanto spesso devo fare controlli medici?,,,,
449,Quali sono le cause più comuni della mastite durante l'allattamento?,,,,
386,Ho bisogno di più tempo per adattarmi.,,,,
425,Quali sono i sintomi più comuni del carcinoma ovarico?,,,,
50,Come posso ridurre il mio impatto ambientale quotidiano?,,,,
33,Quali sono i segnali di allarme da tenere d'occhio?,,,,
392,Vorrei sapere come posso migliorare la mia capacità di negoziazione.,,,,
246,Il mio computer è diventato molto lento.,,,,
464,È vero che con il primo rapporto sessuale non si resta incinta?,,,,
456,Quali sono le cause più frequenti di diarrea nei bambini?,,,,
81,Quali sono i migliori modi per migliorare la qualità del sonno?,,,,
470,Posso prendere antibiotici e tachipirina?,,,,
96,Quali sono le migliori pratiche per la sicurezza sul lavoro?,,,,
415,Qual è il rischio di infezione associato alla contaminazione dei giocattoli da parte di batteri e altri microrganismi?,,,,
358,Cosa devo mettere nella valigia per il parto?,,,,
170,Come posso creare una routine quotidiana per il mio bambino appena nato?,,,,
159,Cosa riesce a fare il mio bambino alla 18esima settimana?,,,,
295,Sto cercando un modo per risparmiare energia in casa.,,,,
363,Perché il sonno dei neonati è diverso da quello degli adulti?,,,,
302,Che cos'è l'ossitocina?,,,,
51,Quanto devo bere al giorno?,,,,
143,Quali sono le opzioni di alloggio temporaneo disponibili?,,,,
23,Quali sono i motivi per cui una donna può richiedere un'interruzione volontaria di gravidanza in Italia?,,,,
384,Sto cercando di evitare i cambiamenti improvvisi.,,,,
424,Cosa sono le vitamine e quali sono le loro funzioni nell'organismo?,,,,
475,Posso mangiare sushi?,,,,
1,Posso fumare in gravidanza?,,,,
332,Sto cercando di evitare i cibi piccanti.,,,,
498,Sto cercando un modo per migliorare la mia concentrazione.,,,,
444,Posso avere un gatto?,,,,
414,Qual è il tempo biologico necessario per far sbollire la rabbia?,,,,
329,Bere birra fa produrre più latte?,,,,
315,Quali sono i rischi per i neonati e i lattanti in relazione alla bronchiolite?,,,,
317,Qual è l'importanza del microbiota vaginale materno per il neonato durante il parto?,,,,
497,Sto cercando un modo per migliorare la mia autostima.,,,,
439,Qual è la quantità giusta di sonno?,,,,
306,Cosa posso fare per ridurre il dolore alla schiena?,,,,
